 1 ,67.0 
2,   72.0
   3   ,74.0 
   4   ,62.0
5,56.0 
6  ,66.0
  7 , 65.0
8 ,   59.0 
9,  61.0 
   10 ,69.0   
11, 74.0 
  12  ,69.0
   13  ,66.0
14, 68.0
15, 58.0 
16, 64.0
17   ,66.0  
 18,57.0 
19,   68.0
 20  ,62.0  
21, 59.0   
22 ,73.0 
23  , 61.0 
24   ,61.0  
25 ,57.0
  26 ,58.0 
   27,  57.0 
 28  ,67.0
  29 , 81.0  
 30,79.0
  31  ,76.0
  32 ,78.0
 33 , 74.0  
   34 ,67.0
35 ,84.0
 36  ,  85.0
37, 79.0   
   38,82.0
 39,   87.0 
40,90.0
41 ,87.0
 42,93.0 
   43   ,92.0  
 44,82.0
   45,80.0
46,79.0
 47  , 77.0 
48,72.0   
 49 , 65.0
50,73.0 
51,76.0 
52, 77.0
  53   ,76.0
54 , 76.0 
   55   ,76.0
  56, 75.0
   57,  78.0
 58   ,  73.0   
 59,  80.0 
 60   ,  77.0
 61   ,   83.0 
   62  ,  84.0 
  63, 85.0 
 64 ,   81.0 
65, 84.0 
  66,83.0
67 , 83.0 
68 ,88.0  
   69,   92.0
70 , 92.0
 71,89.0
 72, 82.0
 73,73.0
 74 , 81.0 
  75 ,91.0
   76   ,80.0  
 77,81.0   
  78 ,  82.0   
79 ,84.0
   80, 87.0
