PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637407	1472755199093	1472755199420	SHIFT	16
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637411	1472755199333	1472755199444	A	65
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637415	1472755199581	1472755199676	d	68
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637419	1472755199749	1472755199844	d	68
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637423	1472755199948	1472755200084	 	32
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637427	1472755200124	1472755200236	a	65
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637559	1472755200349	1472755200460	 	32
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637564	1472755200516	1472755200628	s	83
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637569	1472755200692	1472755200788	t	84
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637573	1472755201469	1472755201628	a	65
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637575	1472755201924	1472755201988	BKSP	8
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637576	1472755202060	1472755202132	BKSP	8
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637577	1472755202212	1472755202284	BKSP	8
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637578	1472755202444	1472755202740	SHIFT	16
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637695	1472755202637	1472755202772	S	83
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637698	1472755203269	1472755203380	t	84
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637703	1472755203468	1472755203612	a	65
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637705	1472755203852	1472755203948	r	82
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637711	1472755204285	1472755204372	 	32
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637717	1472755204468	1472755204732	SHIFT	16
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637872	1472755204661	1472755204739	T	84
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637878	1472755204988	1472755205108	r	82
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637887	1472755205789	1472755205852	e	69
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637891	1472755206540	1472755206620	k	75
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637899	1472755206787	1472755206939	 	32
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637996	1472755206980	1472755207443	SHIFT	16
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637904	1472755207294	1472755207436	C	67
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33637998	1472755207556	1472755207652	o	79
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638001	1472755208237	1472755208396	n	78
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638005	1472755208956	1472755209028	v	86
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638008	1472755209124	1472755209260	e	69
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638015	1472755209364	1472755209524	n	78
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638073	1472755209628	1472755209772	t	84
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638076	1472755210164	1472755210220	i	73
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638080	1472755210324	1472755210388	o	79
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638082	1472755210524	1472755210693	n	78
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638150	1472755210684	1472755210780	 	32
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638153	1472755210844	1472755210964	a	65
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638157	1472755210972	1472755211060	n	78
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638160	1472755211124	1472755211220	d	68
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638163	1472755211268	1472755211356	 	32
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638165	1472755211436	1472755211547	s	83
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638303	1472755211652	1472755211724	t	84
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638307	1472755212212	1472755212444	o	79
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638313	1472755213300	1472755213318	BKSP	8
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638319	1472755213319	1472755213327	BKSP	8
64816	707624	Add a Star Trek convention and sports memorabilia show to the mix.	Add a Star Trek Convention and sports memorabilia show to mix.	33638325	1472755213328	1472755213355	p	80
