PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045689	1478502153894	1478502154113	SHIFT	16
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045693	1478502154105	1478502154317	T	84
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045695	1478502154317	1478502154561	h	72
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045698	1478502154549	1478502154721	e	69
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045702	1478502154721	1478502154968	r	82
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045762	1478502154879	1478502155097	e	69
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045763	1478502155167	1478502155417	s	83
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045766	1478502155407	1478502155696	a	65
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045769	1478502156174	1478502156415	 	32
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045770	1478502156524	1478502156664	-	189
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045775	1478502156852	1478502157013	 	32
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045808	1478502157139	1478502157497	SHIFT	16
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045811	1478502157373	1478502157536	P	80
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045814	1478502157653	1478502157852	l	76
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045819	1478502157891	1478502158068	e	69
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045823	1478502158007	1478502158308	a	65
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045834	1478502158217	1478502158405	s	83
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045835	1478502158397	1478502158569	e	69
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045836	1478502158608	1478502158838	 	32
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045838	1478502158825	1478502159042	r	82
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045840	1478502158953	1478502159081	e	69
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045843	1478502159159	1478502159320	s	83
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045892	1478502159402	1478502159569	e	69
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045894	1478502159608	1478502159848	n	78
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045897	1478502159918	1478502160079	d	68
473365	5098841	Theresa - Please resend.	Theresa - Please resend.	242045899	1478502160392	1478502160515	.	190
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046042	1478502163454	1478502163658	SHIFT	16
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046047	1478502163571	1478502163697	I	73
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046051	1478502164176	1478502164336	 	32
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046055	1478502164406	1478502164579	f	70
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046059	1478502164530	1478502164703	o	79
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046062	1478502164773	1478502164953	g	71
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046137	1478502166129	1478502166249	BKSP	8
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046144	1478502166874	1478502166968	r	82
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046147	1478502167077	1478502167229	g	71
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046154	1478502167237	1478502167435	o	79
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046160	1478502167474	1478502167645	t	84
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046162	1478502167734	1478502167934	 	32
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046196	1478502168413	1478502168539	o	79
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046198	1478502168617	1478502168827	n	78
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046200	1478502168778	1478502168905	e	69
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046204	1478502168944	1478502169072	 	32
473365	5098851	I forgot one person when we spoke on Friday.	I forgot one person when we spoke on Friday.	242046208	1478502169080	1478502169283	p	80
