1 78 41 0.386 0.27
2 79 56 0.374 0.282
3 81 63 0.393 0.277
4 80 68 0.425 0.28
5 76 69 0.406 0.272
6 78 65 0.344 0.262
7 82 61 0.327 0.275
8 79 47 0.288 0.267
9 76 32 0.269 0.265
10 79 24 0.256 0.277
11 82 28 0.286 0.282
12 85 26 0.298 0.27
13 86 32 0.329 0.272
14 83 40 0.318 0.287
15 84 55 0.381 0.277
16 82 63 0.381 0.287
17 80 72 0.47 0.28
18 78 72 0.443 0.277
19 84 67 0.386 0.277
20 86 60 0.342 0.277
21 85 44 0.319 0.292
22 87 40 0.307 0.287
23 94 32 0.284 0.277
24 92 27 0.326 0.285
25 95 28 0.309 0.282
26 96 33 0.359 0.265
27 94 41 0.376 0.265
28 96 52 0.416 0.265
29 91 64 0.437 0.268
30 90 71 0.548 0.26
